"RealSetNum","RealRepNum","RepNum","Model","AgentStepTime","NumAgents","Neighbors","FractionInformed","AvoidRadius","AlignRadius","AttractRadius","AlignYIntercept","ObstacleRadius","ObsVisibility","TurnRate","AvoidWeight","AlignWeight","AttractWeight","ObstacleWeight","numCaught","MeanGoalTime","MedianGoalTime","NumSucceed","SuccessRate","meanPersY","meanPersX","flockingEscape","whichParam"
"10","27",20,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,111.51100000002,111.10000000002,10,1,10.3097755873291,31.3193621285151,1,"AgentStepTime"
"10","28",21,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,124.806000000027,124.960000000027,10,1,18.7433216982553,42.0935166503029,1,"AgentStepTime"
"10","29",22,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,147.290000000011,146.270000000012,10,1,26.3185066076052,45.1970665299673,1,"AgentStepTime"
"10","3",23,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,118.374000000024,117.925000000023,10,1,20.2959754449374,41.8738441167037,1,"AgentStepTime"
"10","30",24,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,92.6790000000105,91.73500000001,10,1,10.8610720116047,32.3323988064338,1,"AgentStepTime"
"10","31",25,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,4,101.900000000015,101.305000000015,4,1,16.0886678420865,20.0956677362018,1,"AgentStepTime"
"10","32",26,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,110.099000000019,110.630000000019,10,1,17.3397560447375,42.1912602451231,1,"AgentStepTime"
"10","33",27,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,175.278999999986,174.249999999986,10,1,48.515044443955,45.4725442783049,1,"AgentStepTime"
"10","34",28,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,173.180999999988,172.344999999988,10,1,38.1120863708551,41.8249116878392,1,"AgentStepTime"
"10","35",29,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,114.243000000021,114.345000000021,10,1,10.4144732286089,29.8670045481711,1,"AgentStepTime"
"10","36",30,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,158.414000000001,157.500000000002,10,1,16.1397631000646,30.2440715340588,1,"AgentStepTime"
"10","37",31,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,132.392000000024,131.485000000025,10,1,27.416065870501,44.1411689427812,1,"AgentStepTime"
"10","38",32,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,130.726000000026,130.435000000026,10,1,28.0483062658379,44.0057301340326,1,"AgentStepTime"
"10","39",33,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,129.302000000027,128.845000000028,10,1,28.0662254103758,40.4083361274205,1,"AgentStepTime"
"10","4",34,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,105.415000000017,105.290000000017,10,1,9.12955479934736,30.4342232051509,1,"AgentStepTime"
"10","40",35,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,8,103.236250000016,102.865000000015,8,1,13.4887033729742,28.4006588942811,1,"AgentStepTime"
"10","41",36,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,143.236999999993,107.225000000018,10,1,7.41765898278649,11.1245709013072,1,"AgentStepTime"
"10","42",37,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,97.5830000000131,97.1100000000128,10,1,12.4426522870081,29.1460434498207,1,"AgentStepTime"
"10","43",38,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,107.882000000018,107.500000000018,10,1,14.0220154536046,36.7862310929036,1,"AgentStepTime"
"10","44",39,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,161.812999999998,160.554999999999,10,1,41.9504964264415,44.3061189272588,1,"AgentStepTime"
"10","45",40,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,183.105999999978,182.144999999979,10,1,50.70242383671,38.9548675294646,1,"AgentStepTime"
"10","46",41,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,128.372000000027,128.245000000028,10,1,25.2857214695598,44.2932659209549,1,"AgentStepTime"
"10","47",42,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,95.1060000000117,94.6750000000115,10,1,7.05481617994283,26.2815602956108,1,"AgentStepTime"
"10","48",43,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,164.430999999995,163.904999999996,10,1,43.1944510095387,38.6833382517435,1,"AgentStepTime"
"10","49",44,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,157.791000000001,157.180000000002,10,1,22.5607598153865,32.5129107139816,1,"AgentStepTime"
"10","5",45,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,142.283000000016,141.685000000016,10,1,22.1072501766168,41.2048972405323,1,"AgentStepTime"
"10","50",46,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,176.38699999998,184.724999999976,10,1,14.6233720324782,32.9776925407797,1,"AgentStepTime"
"10","6",47,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,102.582000000016,102.480000000016,10,1,11.7736332857726,26.1391119440298,1,"AgentStepTime"
"10","7",48,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,115.357000000022,115.720000000023,10,1,12.2617926185294,28.1458093577845,1,"AgentStepTime"
"10","8",49,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,90.8250000000096,90.2800000000093,10,1,8.24812078035925,33.2775127594125,1,"AgentStepTime"
"10","9",50,0,0.2,10,7,1,1,5,10,0.6,1,1,2,1,10,1,1,10,123.211000000026,122.410000000026,10,1,16.8124101503275,41.3536871218337,1,"AgentStepTime"
"100","1",1,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,NA,NA,0,0,10.2825337581251,5.72839510485447,0,"AvoidWeight"
"100","10",2,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,NA,NA,0,0,-0.03615577298966,4.15037158833187,0,"AvoidWeight"
"100","11",3,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,NA,NA,0,0,0.414164452337401,4.60144782375199,0,"AvoidWeight"
"100","12",4,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,NA,NA,0,0,0.79898106273199,4.32787858408084,0,"AvoidWeight"
"100","13",5,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,NA,NA,0,0,0.319606089048949,4.67330812481362,0,"AvoidWeight"
"100","14",6,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,NA,NA,0,0,0.56232249298391,4.77378118660289,0,"AvoidWeight"
"100","15",7,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,NA,NA,0,0,6.18508957384589,6.69132603717359,0,"AvoidWeight"
"100","16",8,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,NA,NA,0,0,1.60275873395161,5.61552348465421,0,"AvoidWeight"
"100","17",9,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,88.1240000000082,87.8300000000081,10,1,13.4381644808989,20.2704291769462,1,"AvoidWeight"
"100","18",10,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,84.2240000000062,83.825000000006,10,1,7.44190250351817,17.0325206704319,1,"AvoidWeight"
"100","19",11,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,91.64500000001,91.75000000001,10,1,12.7157471972307,17.2977469832108,1,"AvoidWeight"
"100","2",12,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,NA,NA,0,0,0.2008853123652,4.29322940095574,0,"AvoidWeight"
"100","20",13,0,0.1,10,7,1,1,5,10,0.6,1,1,2,0.1,10,1,1,10,NA,NA,0,0,4.88884550647736,5.9348912860083,0,"AvoidWeight"
